model	objective	reaction	status	value
iUma22.xml	obj	R_2__46__4__46__1__46__141__45__RXN	optimal	0.169108
iUma22.xml	obj	R_2__46__4__46__1__46__142__45__RXN	optimal	0.169108
iUma22.xml	obj	R_2__46__4__46__1__46__83__45__RXN	optimal	0.169108
iUma22.xml	obj	R_2__46__6__46__1__46__22__45__RXN	optimal	0.169108
iUma22.xml	obj	R_2__46__7__46__8__46__15__45__RXN	optimal	0.169108
iUma22.xml	obj	R_2__46__8__46__1__46__6__45__RXN	optimal	0.169108
iUma22.xml	obj	R_3DSPHR	optimal	0.169108
iUma22.xml	obj	R_3HAD100	optimal	0.0
iUma22.xml	obj	R_3HAD120	optimal	0.0
iUma22.xml	obj	R_3HAD140	optimal	0.0
iUma22.xml	obj	R_3HAD160	optimal	0.0
iUma22.xml	obj	R_3HAD180	optimal	0.0
iUma22.xml	obj	R_3HAD40	optimal	0.0
iUma22.xml	obj	R_3HAD60	optimal	0.0
iUma22.xml	obj	R_3HAD80	optimal	0.0
iUma22.xml	obj	R_3HAO	optimal	0.169108
iUma22.xml	obj	R_3HBDEH	optimal	0.169108
iUma22.xml	obj	R_3HOPCD	optimal	0.169108
iUma22.xml	obj	R_3MOPDECARB	optimal	0.169108
iUma22.xml	obj	R_3OAR100	optimal	0.0
iUma22.xml	obj	R_3OAR120	optimal	0.0
iUma22.xml	obj	R_3OAR140	optimal	0.0
iUma22.xml	obj	R_3OAR160	optimal	0.0
iUma22.xml	obj	R_3OAR180	optimal	0.0
iUma22.xml	obj	R_3OAR40	optimal	0.0
iUma22.xml	obj	R_3OAR60	optimal	0.0
iUma22.xml	obj	R_3OAR80_1	optimal	0.0
iUma22.xml	obj	R_3OAS100	optimal	0.0
iUma22.xml	obj	R_3OAS120	optimal	0.0
iUma22.xml	obj	R_3OAS140	optimal	0.0
iUma22.xml	obj	R_3OAS160	optimal	0.0
iUma22.xml	obj	R_3OAS180	optimal	0.0
iUma22.xml	obj	R_3OAS60	optimal	0.0
iUma22.xml	obj	R_3OAS80	optimal	0.0
iUma22.xml	obj	R_3OXCOAT	optimal	0.169108
iUma22.xml	obj	R_3__45__CH3__45__2__45__OXOBUTANOATE__45__OH__45__CH3__45__XFER__45__RXN	optimal	0.169108
iUma22.xml	obj	R_3__45__phosphoshikimate__45__1__45__carboxyvinyltransferase__45__RXN	optimal	0.0
iUma22.xml	obj	R_3__46__1__46__1__46__23__45__RXN	optimal	0.169108
iUma22.xml	obj	R_3__46__1__46__3__46__46__45__RXN	optimal	0.169108
iUma22.xml	obj	R_3__46__1__46__3__46__7__45__RXN	optimal	0.0
iUma22.xml	obj	R_3__46__6__46__3__46__10__45__RXN	optimal	0.169108
iUma22.xml	obj	R_3__46__6__46__4__46__3__45__RXN	optimal	0.169108
iUma22.xml	obj	R_3__46__6__46__4__46__5__45__RXN	optimal	0.169108
iUma22.xml	obj	R_4__45__HYDROXYPHENYLPYRUVATE__45__DIOXYGENASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_4__46__1__46__1__46__38__45__RXN	optimal	0.169108
iUma22.xml	obj	R_6__45__PHOSPHOFRUCTO__45__2__45__KINASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_AACOAR_syn	optimal	0.169108
iUma22.xml	obj	R_AACOAT	optimal	0.169108
iUma22.xml	obj	R_AAPSAS	optimal	0.169108
iUma22.xml	obj	R_AASAD3m	optimal	0.169108
iUma22.xml	obj	R_AATAi	optimal	0.0
iUma22.xml	obj	R_ABFPTh	optimal	0.169108
iUma22.xml	obj	R_ABTArm	optimal	0.169108
iUma22.xml	obj	R_ABTD	optimal	0.169108
iUma22.xml	obj	R_ABUTt2rL	optimal	0.169108
iUma22.xml	obj	R_ACALDh	optimal	0.169108
iUma22.xml	obj	R_ACCOAC	optimal	0.0
iUma22.xml	obj	R_ACETATE__45____45__COA__45__LIGASE__45__ADP__45__FORMING__45__RXN	optimal	0.169108
iUma22.xml	obj	R_ACGAM6PS	optimal	0.0
iUma22.xml	obj	R_ACGAMPM	optimal	0.0
iUma22.xml	obj	R_ACGKm	optimal	0.169108
iUma22.xml	obj	R_ACGSm	optimal	0.169108
iUma22.xml	obj	R_ACHBSm	optimal	0.0
iUma22.xml	obj	R_ACITL	optimal	0.169108
iUma22.xml	obj	R_ACKrm	optimal	0.169108
iUma22.xml	obj	R_ACOAD9m	optimal	0.169108
iUma22.xml	obj	R_ACOATA	optimal	0.0
iUma22.xml	obj	R_ACONTa	optimal	0.0
iUma22.xml	obj	R_ACONTb	optimal	0.0
iUma22.xml	obj	R_ACSp	optimal	0.169108
iUma22.xml	obj	R_ACTD	optimal	0.169108
iUma22.xml	obj	R_ACYLCOASYN__45__RXN__45__BUTYRIC_ACID323	optimal	0.169108
iUma22.xml	obj	R_ACYLCOASYN__45__RXN__45__DODECANOATE324	optimal	0.169108
iUma22.xml	obj	R_ACYLCOASYN__45__RXN__45__STEARIC_ACID325	optimal	0.169108
iUma22.xml	obj	R_ACYL__45__COA__45__HYDROLASE__45__RXN__45__BUTYRYL__45__COA1402	optimal	0.169108
iUma22.xml	obj	R_ACYL__45__COA__45__HYDROLASE__45__RXN__45__CPD__45__102671409	optimal	0.169108
iUma22.xml	obj	R_ACYL__45__COA__45__HYDROLASE__45__RXN__45__CPD__45__115171410	optimal	0.169108
iUma22.xml	obj	R_ACYL__45__COA__45__HYDROLASE__45__RXN__45__CPD__45__142691401	optimal	0.169108
iUma22.xml	obj	R_ACYL__45__COA__45__HYDROLASE__45__RXN__45__CPD__45__146751406	optimal	0.169108
iUma22.xml	obj	R_ACYL__45__COA__45__HYDROLASE__45__RXN__45__CPD__45__1961408	optimal	0.169108
iUma22.xml	obj	R_ACYL__45__COA__45__HYDROLASE__45__RXN__45__LAUROYLCOA__45__CPD1407	optimal	0.169108
iUma22.xml	obj	R_ACYL__45__COA__45__HYDROLASE__45__RXN__45__PROPIONYL__45__COA1403	optimal	0.169108
iUma22.xml	obj	R_ADDALT__45__RXN	optimal	0.169108
iUma22.xml	obj	R_ADENODEAMIN__45__RXN	optimal	0.169108
iUma22.xml	obj	R_ADENOSINETRIPHOSPHATASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_ADK3m	optimal	0.169108
iUma22.xml	obj	R_ADNK1m	optimal	0.169108
iUma22.xml	obj	R_ADNUC	optimal	0.169108
iUma22.xml	obj	R_ADPT	optimal	0.169108
iUma22.xml	obj	R_ADSK	optimal	0.0
iUma22.xml	obj	R_ADSL1r	optimal	0.169108
iUma22.xml	obj	R_ADSL2r	optimal	0.169108
iUma22.xml	obj	R_ADSSh	optimal	0.169108
iUma22.xml	obj	R_AGMIS	optimal	0.169108
iUma22.xml	obj	R_AGPAT160	optimal	0.169108
iUma22.xml	obj	R_AGPOPm	optimal	0.169108
iUma22.xml	obj	R_AGPRim	optimal	0.169108
iUma22.xml	obj	R_AGTix	optimal	0.169108
iUma22.xml	obj	R_AHCi	optimal	0.0
iUma22.xml	obj	R_AHSERL2	optimal	0.0
iUma22.xml	obj	R_AICARTRANSFORM__45__RXN	optimal	0.0
iUma22.xml	obj	R_AKGDm	optimal	0.169108
iUma22.xml	obj	R_ALASm	optimal	0.169108
iUma22.xml	obj	R_ALATA_Lm	optimal	0.169108
iUma22.xml	obj	R_ALCD1	optimal	0.169108
iUma22.xml	obj	R_ALCD19y	optimal	0.169108
iUma22.xml	obj	R_ALCD2x	optimal	0.169108
iUma22.xml	obj	R_ALCDH_nadp_hi	optimal	0.169108
iUma22.xml	obj	R_ALD1EPI	optimal	0.169108
iUma22.xml	obj	R_ALDD20xm	optimal	0.169108
iUma22.xml	obj	R_ALDD2xm	optimal	0.169108
iUma22.xml	obj	R_ALDD2ym	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADORNOP__43____45__RXN__45__2__45__TRANS6__45__TRANS__45__FARNESAL1442	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADORNOP__43____45__RXN__45__CPD__45__127081444	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADORNOP__43____45__RXN__45__CPD__45__149261431	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADORNOP__43____45__RXN__45__CPD__45__3711433	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADORNOP__43____45__RXN__45__CPD__45__6651435	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADORNOP__43____45__RXN__45__CPD__45__6651436	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADORNOP__43____45__RXN__45__METHYL__45__GLYOXAL1429	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADORNOP__43____45__RXN__45__METHYL__45__GLYOXAL1430	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADORNOP__43____45__RXN__45__RETINAL1440	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADORNOP__43____45__RXN__45__SALICYLALDEHYDE1438	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADP__43____45__RXN__45__2__45__TRANS6__45__TRANS__45__FARNESAL186	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADP__43____45__RXN__45__CPD__45__12708185	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADP__43____45__RXN__45__CPD__45__14926191	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADP__43____45__RXN__45__CPD__45__371190	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADP__43____45__RXN__45__CPD__45__665189	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADP__43____45__RXN__45__METHYL__45__GLYOXAL192	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADP__43____45__RXN__45__RETINAL187	optimal	0.169108
iUma22.xml	obj	R_ALDEHYDE__45__DEHYDROGENASE__45__NADP__43____45__RXN__45__SALICYLALDEHYDE188	optimal	0.169108
iUma22.xml	obj	R_ALDHDEHYDROG__45__RXN__45__CPD__45__665182	optimal	0.169108
iUma22.xml	obj	R_ALDHDEHYDROG__45__RXN__45__METHYL__45__GLYOXAL183	optimal	0.169108
iUma22.xml	obj	R_AMALT1	optimal	0.169108
iUma22.xml	obj	R_AMALT2	optimal	0.169108
iUma22.xml	obj	R_AMPTASECGe	optimal	0.169108
iUma22.xml	obj	R_AMP__45__DEAMINASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_ANTPPT	optimal	0.0
iUma22.xml	obj	R_AOTA	optimal	0.169108
iUma22.xml	obj	R_AOXm	optimal	0.169108
iUma22.xml	obj	R_APAT2rm	optimal	0.169108
iUma22.xml	obj	R_ARABR	optimal	0.169108
iUma22.xml	obj	R_ARADEH	optimal	0.169108
iUma22.xml	obj	R_ARGININE__45__2__45__MONOOXYGENASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_ARGININE__45__DEIMINASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_ARGNm	optimal	0.169108
iUma22.xml	obj	R_ARGSL	optimal	0.0
iUma22.xml	obj	R_ARGSS_1	optimal	0.0
iUma22.xml	obj	R_ARGtex	optimal	0.169108
iUma22.xml	obj	R_ASADi	optimal	0.0
iUma22.xml	obj	R_ASNS1	optimal	0.0
iUma22.xml	obj	R_ASO3t8pp	optimal	0.169108
iUma22.xml	obj	R_ASP1DC	optimal	0.169108
iUma22.xml	obj	R_ASPARAGINE__45____45__TRNA__45__LIGASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_ASPCTn	optimal	0.0
iUma22.xml	obj	R_ASPK_1	optimal	0.0
iUma22.xml	obj	R_ASPTAp	optimal	0.0
iUma22.xml	obj	R_ATAMh	optimal	0.169108
iUma22.xml	obj	R_ATNS	optimal	0.0
iUma22.xml	obj	R_ATPPRT	optimal	0.0
iUma22.xml	obj	R_ATPS	optimal	0.169108
iUma22.xml	obj	R_ATPasel	optimal	0.0
iUma22.xml	obj	R_AlaGlyPEPASE	optimal	0.169108
iUma22.xml	obj	R_BENZALDEHYDE__45__DEHYDROGENASE__45__NADP__43____45__RXN	optimal	0.169108
iUma22.xml	obj	R_BENZOATE__45__4__45__MONOOXYGENASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_BETALDHxm	optimal	0.169108
iUma22.xml	obj	R_BFBPh	optimal	0.169108
iUma22.xml	obj	R_BILIVERDIN__45__REDUCTASE__45__RXN__45__NAD519	optimal	0.169108
iUma22.xml	obj	R_BILIVERDIN__45__REDUCTASE__45__RXN__45__NADP518	optimal	0.169108
iUma22.xml	obj	R_BIOMASS_REACTION	optimal	0.0
iUma22.xml	obj	R_BTNtex	optimal	0.169108
iUma22.xml	obj	R_BTP	optimal	0.169108
iUma22.xml	obj	R_BTS	optimal	0.169108
iUma22.xml	obj	R_BTS_nadph	optimal	0.169108
iUma22.xml	obj	R_BUTYRATE__45____45__COA__45__LIGASE__45__RXN__45__BUTYRIC_ACID346	optimal	0.169108
iUma22.xml	obj	R_BUTYRATE__45____45__COA__45__LIGASE__45__RXN__45__DODECANOATE347	optimal	0.169108
iUma22.xml	obj	R_BUTYRATE__45____45__COA__45__LIGASE__45__RXN__45__STEARIC_ACID343	optimal	0.169108
iUma22.xml	obj	R_BUTYRYL__45__COA__45__DEHYDROGENASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_BZDH	optimal	0.169108
iUma22.xml	obj	R_C3STKR1	optimal	0.0
iUma22.xml	obj	R_C8STI	optimal	0.0
iUma22.xml	obj	R_CA2abcpp	optimal	0.169108
iUma22.xml	obj	R_CARBAMATE__45__KINASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_CARNITINE__45__O__45__ACETYLTRANSFERASE__45__RXN_CYTOSOLIC	optimal	0.169108
iUma22.xml	obj	R_CAROMO	optimal	0.169108
iUma22.xml	obj	R_CAT2p	optimal	0.169108
iUma22.xml	obj	R_CATDIOXASE	optimal	0.169108
iUma22.xml	obj	R_CATp	optimal	0.139929
iUma22.xml	obj	R_CDPPH	optimal	0.169108
iUma22.xml	obj	R_CERAMIDASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_CHDCCH	optimal	0.169108
iUma22.xml	obj	R_CHD__45__RXN	optimal	0.169108
iUma22.xml	obj	R_CHLPCTD	optimal	0.169108
iUma22.xml	obj	R_CHLSTR	optimal	0.169108
iUma22.xml	obj	R_CHLt2pp	optimal	0.169108
iUma22.xml	obj	R_CHOLINE__45__OXIDASEII__45__RXN	optimal	0.169108
iUma22.xml	obj	R_CHOLINE__45__OXIDASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_CHOLK	optimal	0.169108
iUma22.xml	obj	R_CHRM	optimal	0.0
iUma22.xml	obj	R_CHRS	optimal	0.0
iUma22.xml	obj	R_CHTNS	optimal	0.0
iUma22.xml	obj	R_CITRULLINASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_CLtex	optimal	0.169108
iUma22.xml	obj	R_CO2tex	optimal	0.169108
iUma22.xml	obj	R_COA1819ZD9DS	optimal	0.0
iUma22.xml	obj	R_COUCOAFm	optimal	0.169108
iUma22.xml	obj	R_CPPPGO	optimal	0.169108
iUma22.xml	obj	R_CPPPGO2	optimal	0.169108
iUma22.xml	obj	R_CSNATr	optimal	0.169108
iUma22.xml	obj	R_CSp	optimal	0.0
iUma22.xml	obj	R_CTPS2	optimal	0.0
iUma22.xml	obj	R_CYANSTpp	optimal	0.169108
iUma22.xml	obj	R_CYCLOEUCALENOL__45__CYCLOISOMERASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_CYOOm_umay	optimal	0.169108
iUma22.xml	obj	R_CYOR_u6m_umay	optimal	0.169108
iUma22.xml	obj	R_CYSS_1	optimal	0.169108
iUma22.xml	obj	R_CYSTATHIONINE__45__BETA__45__LYASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_CYSTS	optimal	0.0
iUma22.xml	obj	R_CYTDK2	optimal	0.169108
iUma22.xml	obj	R_CYTDK2m	optimal	0.169108
iUma22.xml	obj	R_CYTIDEAM2__45__RXN	optimal	0.0
iUma22.xml	obj	R_CYTK2n	optimal	0.169108
iUma22.xml	obj	R_CYTOCHROME__45__B5__45__REDUCTASE__45__RXN	optimal	0.0
iUma22.xml	obj	R_Carbonic_Anhydrase	optimal	0.169108
iUma22.xml	obj	R_DAPOP	optimal	0.169108
iUma22.xml	obj	R_DARALACTONASE	optimal	0.169108
iUma22.xml	obj	R_DASYN160	optimal	0.0
iUma22.xml	obj	R_DB4PS	optimal	0.169108
iUma22.xml	obj	R_DCMP__45__DEAMINASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_DHACOAH	optimal	0.169108
iUma22.xml	obj	R_DHADh	optimal	0.0
iUma22.xml	obj	R_DHAK	optimal	0.169108
iUma22.xml	obj	R_DHCR71r	optimal	0.169108
iUma22.xml	obj	R_DHCR72r	optimal	0.169108
iUma22.xml	obj	R_DHFS_1	optimal	0.169108
iUma22.xml	obj	R_DHNPA2r	optimal	0.169108
iUma22.xml	obj	R_DHPS2_1	optimal	0.169108
iUma22.xml	obj	R_DHQS_1	optimal	0.0
iUma22.xml	obj	R_DHR	optimal	0.0
iUma22.xml	obj	R_DHSKDH	optimal	0.169108
iUma22.xml	obj	R_DIACYLGLYCEROL__45__O__45__ACYLTRANSFERASE__45__RXN__45__BUTYRYL__45__COA455	optimal	0.169108
iUma22.xml	obj	R_DIHYDROFOLATEREDUCT__45__RXN	optimal	0.0
iUma22.xml	obj	R_DIPS	optimal	0.169108
iUma22.xml	obj	R_DLACTDEHYDROGFAD__45__RXN	optimal	0.169108
iUma22.xml	obj	R_DMHL	optimal	0.0
iUma22.xml	obj	R_DM_12ppd__R_c	optimal	0.169108
iUma22.xml	obj	R_DM_2hp_c	optimal	0.169108
iUma22.xml	obj	R_DM_5aptn_c	optimal	0.169108
iUma22.xml	obj	R_DM_5dglcn_c	optimal	0.169108
iUma22.xml	obj	R_DM_acac_c	optimal	0.169108
iUma22.xml	obj	R_DM_actn__R_c	optimal	0.169108
iUma22.xml	obj	R_DM_ad_c	optimal	0.169108
iUma22.xml	obj	R_DM_arab__L_c	optimal	0.169108
iUma22.xml	obj	R_DM_cellb_c	optimal	0.169108
iUma22.xml	obj	R_DM_dha_c	optimal	0.169108
iUma22.xml	obj	R_DM_erythol_c	optimal	0.169108
iUma22.xml	obj	R_DM_g1p_c	optimal	0.169108
iUma22.xml	obj	R_DM_gam6p_c	optimal	0.169108
iUma22.xml	obj	R_DM_glcur_c	optimal	0.169108
iUma22.xml	obj	R_DM_malttr_c	optimal	0.169108
iUma22.xml	obj	R_DM_man_c	optimal	0.169108
iUma22.xml	obj	R_DM_raffin_c	optimal	0.169108
iUma22.xml	obj	R_DM_rib__D_c	optimal	0.169108
iUma22.xml	obj	R_DM_srb__L_c	optimal	0.169108
iUma22.xml	obj	R_DM_stys_c	optimal	0.169108
iUma22.xml	obj	R_DM_tre_c	optimal	0.169108
iUma22.xml	obj	R_DM_xyl__D_c	optimal	0.169108
iUma22.xml	obj	R_DOPDEHYD	optimal	0.169108
iUma22.xml	obj	R_DPCOAKm	optimal	0.169108
iUma22.xml	obj	R_DPHS	optimal	0.0
iUma22.xml	obj	R_DPMVDx	optimal	0.0
iUma22.xml	obj	R_DQDH	optimal	0.0
iUma22.xml	obj	R_DRBK	optimal	0.169108
iUma22.xml	obj	R_DRPA	optimal	0.169108
iUma22.xml	obj	R_DSMSTOLR	optimal	0.169108
iUma22.xml	obj	R_DTMPK	optimal	0.169108
iUma22.xml	obj	R_DUTPDPn	optimal	0.169108
iUma22.xml	obj	R_D__45__2__45__HYDROXY__45__ACID__45__DEHYDROGENASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_D__45__ARABINOSE__45__1__45__DEHYDROGENASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_D__45__ASPARTATE__45__OXIDASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_Dihydroneopterin_Pyrophosphohydrolase_Lumped_RXN	optimal	0.169108
iUma22.xml	obj	R_E4PK	optimal	0.169108
iUma22.xml	obj	R_EAR100y	optimal	0.0
iUma22.xml	obj	R_EAR120y	optimal	0.0
iUma22.xml	obj	R_EAR140y	optimal	0.0
iUma22.xml	obj	R_EAR160y	optimal	0.0
iUma22.xml	obj	R_EAR180y	optimal	0.0
iUma22.xml	obj	R_EAR40y	optimal	0.0
iUma22.xml	obj	R_EAR60y	optimal	0.0
iUma22.xml	obj	R_EAR80y	optimal	0.0
iUma22.xml	obj	R_EBP1r	optimal	0.169108
iUma22.xml	obj	R_EBP2r	optimal	0.169108
iUma22.xml	obj	R_ECOAH12m	optimal	0.169108
iUma22.xml	obj	R_ECOAH1x	optimal	0.169108
iUma22.xml	obj	R_ECOAH3m	optimal	0.169108
iUma22.xml	obj	R_ECOAH4p	optimal	0.169108
iUma22.xml	obj	R_ECOAR	optimal	0.169108
iUma22.xml	obj	R_EMT1	optimal	0.169108
iUma22.xml	obj	R_ENO	optimal	0.169108
iUma22.xml	obj	R_ENOYL__45__COA__45__HYDRAT__45__RXN__45__CPD0__45__2232627	optimal	0.169108
iUma22.xml	obj	R_ENOYL__45__COA__45__HYDRAT__45__RXN__45__OH__45__HEXANOYL__45__COA623	optimal	0.169108
iUma22.xml	obj	R_ENOYL__45__COA__45__HYDRAT__45__RXN__45__POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C10__45__H20626	optimal	0.169108
iUma22.xml	obj	R_ENOYL__45__COA__45__HYDRAT__45__RXN__45__POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C14__45__H28628	optimal	0.169108
iUma22.xml	obj	R_ENOYL__45__COA__45__HYDRAT__45__RXN__45__POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C16__45__H32629	optimal	0.169108
iUma22.xml	obj	R_ENOYL__45__COA__45__HYDRAT__45__RXN__45__POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C8__45__H16625	optimal	0.169108
iUma22.xml	obj	R_ER	optimal	0.169108
iUma22.xml	obj	R_ESTRADIOL__45__17__45__BETA__45__DEHYDROGENASE__45__RXN__45__CPD__45__352440	optimal	0.169108
iUma22.xml	obj	R_ESTRADIOL__45__17__45__BETA__45__DEHYDROGENASE__45__RXN__45__CPD__45__352441	optimal	0.169108
iUma22.xml	obj	R_EX_3hb_e	optimal	0.169108
iUma22.xml	obj	R_EX_4abut_e	optimal	0.169108
iUma22.xml	obj	R_EX_4abz_e	optimal	0.169108
iUma22.xml	obj	R_EX_4hbz_e	optimal	0.169108
iUma22.xml	obj	R_EX_L_alagly_e	optimal	0.169108
iUma22.xml	obj	R_EX_MEL_A_e	optimal	0.169108
iUma22.xml	obj	R_EX_MEL_B_e	optimal	0.169108
iUma22.xml	obj	R_EX_MEL_C_e	optimal	0.169108
iUma22.xml	obj	R_EX_MEL_D_e	optimal	0.169108
iUma22.xml	obj	R_EX_UA_A_e	optimal	0.169108
iUma22.xml	obj	R_EX_UA_B_e	optimal	0.169108
iUma22.xml	obj	R_EX_UA_C_e	optimal	0.169108
iUma22.xml	obj	R_EX_UA_D_e	optimal	0.169108
iUma22.xml	obj	R_EX_abt__D_e	optimal	0.169108
iUma22.xml	obj	R_EX_abt__L_e	optimal	0.169108
iUma22.xml	obj	R_EX_ac_e	optimal	0.169108
iUma22.xml	obj	R_EX_adn_e	optimal	0.0
iUma22.xml	obj	R_EX_ala_B_e	optimal	0.169108
iUma22.xml	obj	R_EX_alaam__L_e	optimal	0.169108
iUma22.xml	obj	R_EX_arab__D_e	optimal	0.169108
iUma22.xml	obj	R_EX_arab__L_e	optimal	0.169108
iUma22.xml	obj	R_EX_arg__L_e	optimal	0.169108
iUma22.xml	obj	R_EX_asn__L_e	optimal	0.169108
iUma22.xml	obj	R_EX_aso3_e	optimal	0.169108
iUma22.xml	obj	R_EX_asp__D_e	optimal	0.169108
iUma22.xml	obj	R_EX_asp__L_e	optimal	0.169108
iUma22.xml	obj	R_EX_btn_e	optimal	0.169108
iUma22.xml	obj	R_EX_but_e	optimal	0.169108
iUma22.xml	obj	R_EX_ca2_e	optimal	0.169108
iUma22.xml	obj	R_EX_cl_e	optimal	0.169108
iUma22.xml	obj	R_EX_co2_e	optimal	0.169108
iUma22.xml	obj	R_EX_cobalt2_e	optimal	0.169108
iUma22.xml	obj	R_EX_copper2_e	optimal	0.169108
iUma22.xml	obj	R_EX_crn_e	optimal	0.169108
iUma22.xml	obj	R_EX_cu2_e	optimal	0.169108
iUma22.xml	obj	R_EX_cys__L_e	optimal	0.169108
iUma22.xml	obj	R_EX_dad_2_e	optimal	0.169108
