UMAG_11763	K05972
UMAG_11659	K22133
UMAG_02377	K00428
UMAG_11087	K02216
UMAG_10237	K02214
UMAG_02403	K15322
UMAG_00354	K08592
UMAG_06258	K01309
UMAG_03610	K23451
UMAG_01790	K10747
UMAG_02069	K14394
UMAG_01273	K11855
UMAG_04230	K15192
UMAG_02696	K10643
UMAG_02217	K01301
UMAG_04851	K03564
UMAG_05219	K10976
UMAG_02874	K10901
UMAG_01640	K22832
UMAG_10872	K01515
UMAG_10465	K00921
UMAG_11613	K15447
UMAG_05433	K00728
UMAG_02282	K24121
UMAG_02242	K07566
UMAG_04226	K11338
UMAG_00898	K08956
UMAG_03702	K12585
UMAG_01397	K18327
UMAG_03372	K08597
UMAG_04461	K01537
UMAG_00688	K05994
UMAG_03583	K04486
UMAG_10873	K12584
UMAG_00235	K01210
UMAG_01212	K00311
UMAG_04188	K12815
UMAG_11198	K11126
UMAG_10124	K15323
UMAG_11213	K12591
UMAG_00453	K00914
UMAG_03229	K15734
UMAG_04732	K07179
UMAG_10792	K01611
UMAG_04496	K00720
UMAG_06153	K01904
UMAG_05214	K14777
UMAG_00871	K14679
UMAG_05422	K13356
UMAG_11334	K18477
UMAG_02753	K17991
UMAG_05485	K11681
UMAG_12123	K05986
UMAG_03469	K05288
UMAG_04209	K00555
UMAG_03809	K00889
UMAG_10970	K08681
UMAG_05897	K01293
UMAG_00655	K01179
UMAG_02224	K18932
UMAG_02445	K15498
UMAG_04665	K14780
UMAG_00602	K19800
UMAG_01332	K17879
UMAG_11369	K15463
UMAG_01824	K15918
UMAG_10552	K01322
UMAG_00883	K07756
UMAG_04738	K18573
UMAG_05652	K02726
UMAG_06043	K01426
UMAG_04630	K08991
UMAG_04667	K18123
UMAG_10666	K12858
UMAG_01942	K01273
UMAG_04128	K20247
UMAG_10879	K07127
UMAG_02624	K05528
UMAG_02600	K01412
UMAG_04031	K05294
UMAG_10614	K14292
UMAG_04743	K01514
UMAG_10248	K01785
UMAG_10569	K05931
UMAG_10353	K18043
UMAG_06295	K05286
UMAG_00259	K07739
UMAG_02919	K05543
UMAG_04081	K00799
UMAG_11016	K02830
UMAG_00288	K21027
UMAG_10749	K00728
UMAG_02828	K13985
UMAG_05022	K06276
UMAG_10138	K13717
UMAG_03141	K10746
UMAG_03465	K01288
UMAG_04578	K22762
UMAG_00146	K17362
UMAG_11284	K00750
UMAG_11148	K03979
UMAG_05857	K14812
UMAG_01551	K19306
UMAG_10862	K10578
UMAG_11301	K11786
UMAG_03618	K00877
UMAG_00454	K05285
UMAG_02750	K01092
UMAG_10662	K15544
UMAG_05013	K13291
UMAG_02929	K04709
UMAG_04310	K12736
UMAG_10198	K17615
UMAG_01544	K11230
UMAG_06103	K00888
UMAG_00775	K10581
UMAG_01802	K09584
UMAG_04048	K11982
UMAG_02718	K15255
UMAG_05186	K10696
UMAG_05408	K11839
UMAG_00560	K03083
UMAG_03366	K06047
UMAG_04219	K17618
UMAG_03695	K14570
UMAG_11578	K02731
UMAG_05349	K13985
UMAG_10502	K01262
UMAG_00119	K23362
UMAG_06337	K03114
UMAG_11308	K06067
UMAG_04926	K01381
UMAG_04470	K00700
UMAG_03112	K21820
UMAG_01067	K12618
UMAG_12041	K13711
UMAG_03023	K01166
UMAG_03256	K03574
UMAG_02677	K11422
UMAG_10915	K12813
UMAG_06376	K07953
UMAG_04962	K00915
UMAG_05726	K07178
UMAG_11745	K02332
UMAG_10845	K20813
UMAG_04558	K22817
UMAG_05521	K23114
UMAG_01165	K01210
UMAG_02102	K11407
UMAG_05548	K00423
UMAG_11191	K01904
UMAG_02514	K23093
UMAG_10683	K14779
UMAG_11195	K19852
UMAG_05061	K00109
UMAG_01730	K17868
UMAG_00274	K02218
UMAG_03126	K15734
UMAG_04881	K00987
UMAG_06407	K13024
UMAG_11867	K14536
UMAG_01705	K01094
UMAG_03811	K01057
UMAG_01458	K02327
UMAG_02568	K05665
UMAG_03985	K18045
UMAG_04721	K09650
UMAG_03936	K12818
UMAG_05646	K18083
UMAG_04063	K08726
UMAG_05285	K04460
UMAG_11400	K03146
UMAG_10145	K19833
UMAG_03170	K13181
UMAG_11633	K01267
UMAG_15057	K02516
UMAG_04136	K08286
UMAG_12106	K01280
UMAG_01849	K24029
UMAG_06461	K05658
UMAG_00481	K13280
UMAG_11075	K09566
UMAG_02510	K01184
UMAG_02046	K02728
UMAG_02178	K01379
UMAG_11819	K04713
UMAG_15015	K18669
UMAG_11672	K05955
UMAG_01031	K20793
UMAG_01945	K01193
UMAG_06259	K05864
UMAG_10190	K06062
UMAG_03979	K13355
UMAG_02525	K11971
UMAG_04080	K11594
UMAG_04541	K01013
UMAG_04902	K02202
UMAG_10063	K15430
UMAG_10253	K01265
UMAG_10056	K23785
UMAG_01662	K11229
UMAG_03648	K00784
UMAG_10283	K00295
UMAG_02799	K01613
UMAG_00417	K00799
UMAG_05240	K11304
UMAG_10768	K02493
UMAG_01814	K23010
UMAG_04950	K15562
UMAG_01903	K01899
UMAG_03470	K01537
UMAG_01514	K11226
UMAG_06072	K13719
UMAG_06194	K03426
UMAG_04956	K08286
UMAG_12337	K17361
UMAG_11667	K12598
UMAG_04535	K17815
UMAG_10073	K00681
UMAG_01879	K01099
UMAG_02669	K10863
UMAG_04913	K15445
UMAG_05042	K10572
UMAG_03318	K00988
UMAG_00564	K01488
UMAG_05239	K11414
UMAG_00837	K01209
UMAG_01007	K13278
UMAG_10656	K02684
UMAG_02223	K21403
UMAG_10534	K19806
UMAG_03765	K18655
UMAG_10602	K10706
UMAG_04543	K08287
UMAG_11114	K13026
UMAG_11740	K10632
UMAG_10911	K10661
UMAG_03411	K01181
UMAG_10396	K10848
UMAG_02638	K07870
UMAG_10990	K01855
UMAG_10538	K00077
UMAG_12136	K22698
UMAG_10257	K09648
UMAG_11668	K01081
UMAG_02291	K18592
UMAG_05352	K09584
UMAG_11929	K03165
UMAG_01854	K01113
UMAG_01818	K16219
UMAG_10372	K17425
UMAG_00992	K04459
UMAG_05114	K05658
UMAG_03308	K11142
UMAG_10528	K05658
UMAG_02083	K10875
UMAG_03293	K01530
UMAG_12293	K18203
UMAG_04714	K10669
UMAG_05720	K15731
UMAG_05355	K00637
UMAG_03824	K06215
UMAG_01011	K18328
UMAG_02864	K01050
UMAG_11630	K07107
UMAG_15029	K12948
UMAG_00366	K02542
UMAG_11913	K13117
UMAG_05038	K01539
UMAG_05858	K22913
UMAG_05166	K14439
UMAG_11559	K06927
UMAG_11310	K19785
UMAG_02863	K15339
UMAG_03061	K03139
UMAG_11049	K19782
UMAG_02463	K09602
UMAG_01679	K02541
UMAG_06306	K18670
UMAG_02979	K18803
UMAG_00751	K11665
UMAG_10765	K03469
UMAG_04009	K22073
UMAG_03277	K01164
UMAG_03038	K07561
UMAG_06033	K23518
UMAG_00903	K11366
UMAG_10410	K13179
UMAG_10376	K19787
UMAG_10647	K02732
UMAG_01006	K17290
UMAG_11574	K01607
UMAG_04069	K10843
UMAG_03621	K05302
UMAG_04979	K01101
UMAG_05333	K14530
UMAG_01175	K03514
UMAG_01728	K07305
UMAG_02697	K03106
UMAG_05986	K02729
UMAG_11228	K08658
UMAG_01470	K14403
UMAG_01131	K01669
UMAG_01604	K19355
UMAG_04705	K00618
UMAG_03063	K15331
UMAG_03386	K23516
UMAG_04026	K06176
UMAG_06190	K01183
UMAG_11248	K13690
UMAG_03262	K02365
UMAG_03448	K00784
UMAG_10924	K10772
UMAG_01180	K03097
UMAG_01211	K18849
UMAG_01646	K02212
UMAG_10439	K15523
UMAG_11521	K03575
UMAG_01018	K03768
UMAG_02211	K08073
UMAG_02567	K11303
UMAG_06363	K08269
UMAG_00085	K01054
UMAG_01886	K13289
UMAG_04787	K01620
UMAG_04997	K17675
UMAG_02177	K14655
UMAG_00784	K15190
UMAG_15056	K17686
UMAG_02023	K17756
UMAG_01286	K01102
UMAG_02581	K01535
UMAG_03504	K00757
UMAG_11703	K01409
UMAG_03676	K10877
UMAG_03408	K00480
UMAG_10520	K13288
UMAG_10597	K03648
UMAG_03358	K08286
UMAG_01001	K10685
UMAG_05543	K08838
UMAG_12208	K02208
UMAG_02526	K03537
UMAG_02500	K23700
UMAG_03450	K18532
UMAG_00177	K18106
UMAG_03796	K08832
UMAG_06102	K01210
UMAG_04707	K13051
UMAG_06118	K01279
UMAG_06038	K20798
UMAG_00894	K07442
UMAG_11590	K17732
UMAG_05687	K02725
UMAG_02911	K11849
UMAG_00007	K10703
UMAG_11572	K14050
UMAG_10085	K20794
UMAG_11776	K22889
UMAG_04765	K03439
UMAG_06400	K00249
UMAG_05273	K01282
UMAG_01231	K00729
UMAG_05545	K11427
UMAG_15072	K22721
UMAG_04236	K00231
UMAG_05268	K13526
UMAG_04193	K17053
UMAG_02220	K03515
UMAG_05085	K10627
UMAG_15074	K05665
UMAG_05860	K02736
UMAG_00275	K02331
UMAG_03738	K12854
UMAG_03941	K12737
UMAG_05204	K13248
UMAG_11989	K14776
UMAG_10784	K14262
UMAG_11808	K04718
UMAG_05554	K07542
UMAG_10329	K01487
UMAG_01195	K22470
UMAG_10014	K09022
UMAG_10263	K05857
UMAG_10055	K00681
UMAG_02493	K10908
UMAG_10429	K03010
UMAG_04827	K06269
UMAG_03068	K00344
UMAG_10704	K16675
UMAG_03973	K08793
UMAG_05844	K17757
UMAG_01904	K01900
UMAG_06069	K15264
UMAG_06239	K00921
UMAG_05152	K10968
UMAG_11398	K11870
UMAG_02982	K05857
UMAG_06317	K01099
UMAG_05101	K03163
UMAG_04673	K10899
UMAG_11901	K16639
UMAG_10781	K00799
UMAG_05109	K08783
UMAG_06008	K06030
UMAG_15092	K11227
UMAG_01408	K22684
UMAG_01829	K01209
UMAG_10407	K23040
UMAG_00876	K01210
UMAG_01085	K10866
UMAG_04364	K01210
UMAG_02446	K03021
UMAG_00376	K11872
UMAG_11196	K10747
UMAG_15093	K21157
UMAG_04116	K18342
UMAG_01275	K02738
UMAG_10331	K14171
UMAG_10830	K15363
UMAG_11132	K10773
UMAG_10164	K10583
UMAG_04776	K02727
UMAG_06098	K01417
UMAG_04591	K12571
UMAG_11828	K11483
UMAG_04428	K19054
UMAG_04394	K14802
UMAG_04064	K01178
UMAG_01467	K14835
UMAG_11341	K03847
UMAG_11779	K11367
UMAG_05938	K06911
UMAG_04179	K02734
UMAG_00982	K06689
UMAG_03149	K15631
UMAG_01144	K03538
UMAG_01905	K05609
UMAG_05348	K05954
UMAG_06048	K08968
UMAG_05892	K11121
UMAG_04117	K07252
UMAG_11662	K07393
UMAG_10241	K14778
UMAG_02611	K01166
UMAG_12246	K17879
UMAG_00741	K23358
UMAG_00810	K16315
UMAG_05698	K08286
UMAG_10262	K19770
UMAG_01515	K07393
UMAG_12262	K01904
UMAG_02300	K01176
UMAG_11725	K23333
UMAG_01130	K00505
UMAG_05936	K15734
UMAG_02414	K05545
UMAG_04666	K17362
UMAG_12272	K04409
UMAG_04318	K05906
UMAG_04708	K01732
UMAG_10522	K04711
UMAG_06417	K04564
UMAG_10655	K12614
UMAG_03080	K06269
UMAG_04065	K13526
UMAG_05200	K14808
UMAG_04250	K20032
UMAG_05045	K16196
UMAG_11281	K12820
UMAG_04375	K11436
UMAG_11215	K02178
UMAG_06201	K04499
UMAG_05286	K17623
UMAG_00499	K19219
UMAG_06273	K00327
UMAG_10356	K02739
UMAG_10306	K17759
UMAG_12327	K15376
UMAG_11605	K10761
UMAG_10300	K07232
UMAG_11199	K08818
UMAG_06156	K03018
UMAG_10709	K10770
UMAG_02435	K01410
UMAG_04669	K10747
UMAG_02580	K22696
UMAG_03323	K11968
UMAG_03305	K04371
UMAG_03446	K06684
UMAG_01891	K21594
UMAG_03081	K08853
UMAG_00936	K04348
UMAG_00140	K05542
UMAG_04074	K22685
UMAG_02075	K08576
UMAG_15011	K04728
UMAG_11953	K01408
UMAG_02729	K09595
UMAG_06316	K05283
UMAG_11682	K00587
UMAG_06079	K01669
UMAG_02843	K01341
UMAG_03443	K10688
UMAG_10648	K01530
UMAG_04298	K14857
UMAG_01857	K15078
UMAG_03124	K03539
UMAG_11230	K13996
UMAG_03233	K05275
UMAG_10864	K00621
UMAG_01931	K02350
UMAG_01919	K01489
UMAG_00432	K01259
UMAG_01262	K02330
UMAG_10481	K05687
UMAG_01284	K06027
UMAG_01800	K03635
UMAG_00298	K11836
UMAG_10536	K09577
UMAG_04925	K00916
UMAG_10914	K11484
UMAG_02895	K09827
UMAG_11635	K04554
UMAG_06261	K13535
UMAG_00599	K03512
UMAG_00966	K20098
UMAG_02331	K04371
UMAG_10401	K11273
UMAG_10705	K04563
UMAG_03216	K07203
UMAG_10496	K08838
UMAG_01950	K15532
UMAG_04202	K11835
UMAG_03647	K19703
UMAG_02168	K08856
UMAG_00412	K00008
UMAG_03841	K08852
UMAG_05894	K13985
UMAG_05201	K10882
UMAG_01208	K10573
UMAG_02847	K12351
UMAG_05544	K08794
UMAG_02739	K19691
UMAG_04234	K11405
UMAG_11792	K00599
UMAG_10337	K10576
UMAG_05678	K13299
UMAG_03696	K04706
UMAG_05329	K00485
UMAG_11912	K08827
UMAG_10144	K00387
UMAG_03756	K10300
UMAG_05378	K17065
UMAG_02115	K18334
UMAG_03984	K00974
UMAG_02693	K01415
UMAG_11026	K00997
UMAG_00101	K03509
UMAG_04327	K10597
UMAG_02263	K01304
UMAG_11396	K08286
UMAG_11892	K06655
UMAG_05800	K06013
UMAG_11318	K20791
UMAG_12051	K01580
UMAG_06509	K10775
UMAG_05064	K02209
UMAG_11305	K23222
UMAG_11010	K11268
UMAG_04657	K22531
UMAG_11784	K03857
UMAG_10643	K00254
UMAG_00882	K06018
UMAG_12122	K15687
UMAG_11017	K13690
UMAG_03372	K08597
UMAG_12166	K12946
UMAG_10658	K23787
UMAG_10131	K01613
