index,Abbreviation,Formula,Misbalance
28,ENOYL-COA-HYDRAT-RXN-POLYMER-INST-L-3-HYDROXYACYL-COA-C8-H16//CPD-7222/WATER.56.,dd2coa_c + h2o_c --> POLYMER-INST-L-3-HYDROXYACYL-COA-C8-H16_c,{'charge': 4.0}
29,ENOYL-COA-HYDRAT-RXN-CPD0-2232//POLYMER-INST-TRANS-D2-ENOYL-COA-C12-H24/WATER.57.,POLYMER-INST-TRANS-D2-ENOYL-COA-C12-H24_c + h2o_c --> 3hhdcoa_c,{'charge': -4.0}
30,ENOYL-COA-HYDRAT-RXN-POLYMER-INST-L-3-HYDROXYACYL-COA-C14-H28//CPD-10262/WATER.58.,h2o_c + od2coa_c --> POLYMER-INST-L-3-HYDROXYACYL-COA-C14-H28_c,{'charge': 4.0}
31,GLNTRAT,atp_c + gln__L_c + glutrna_gln_c + h2o_c --> adp_c + glntrna_c + glu__L_c + h_c + pi_c,"{'C': 5.0, 'H': 7.0, 'N': 1.0, 'O': 3.0, 'R': 1.0}"
32,GLUCOSE-1-DEHYDROGENASE-RXN,NAD-P-OR-NOP_c + glc__D_c <=> NADH-P-OR-NOP_c + g15lac_c + h_c,{'H': -1.0}
33,RXN-12460,Charged-ASN-tRNAs_c + h2o_c --> asn__L_c + 2.0 h_c + trnaasn_c,"{'charge': 1.0, 'H': 25.0, 'O': 12.0, 'C': 14.0, 'N': 2.0, 'P': 1.0, 'R': 2.0}"
34,1.1.1.117-RXN,D-arabinofuranose_c + NAD-P-OR-NOP_c --> CPD-356_c + NADH-P-OR-NOP_c + h_c,{'H': -1.0}
35,FKYNH,Lfmkynr_c + h2o_c --> Lkynr_c + for_c + 3.0 h_c,{'charge': 2.0}
36,GLUTRS_Gln,atp_c + glu__L_c + h_c + trnagln_c --> amp_c + glutrna_gln_c + ppi_c,"{'charge': -1.0, 'C': -5.0, 'H': -8.0, 'N': -1.0, 'O': -3.0, 'R': -1.0}"
38,RXN-5061,2.0 fdxrd_c + 2.0 h_c + mlthf_c --> 5mthf_c + 2.0 fdxox_c,"{'charge': -2.0, 'H': -4.0}"
39,RXN-15211,N-Acylsphingosine_c + pc160_c --> 12dgr160_c + N-acyl-sphingosylphosphorylcholine_c,"{'C': -5.0, 'H': -12.0, 'N': -1.0, 'O': -3.0, 'P': -1.0}"
40,PYRUFLAVREDUCT-RXN,coa_c + 2.0 fdxox_c + pyr_c --> accoa_c + co2_c + 2.0 fdxrd_c + h_c,"{'charge': 2.0, 'H': 4.0}"
41,1.18.1.2-RXN,2.0 fdxrd_c + h_c + nadp_c --> 2.0 fdxox_c + nadph_c,"{'charge': -2.0, 'H': -4.0}"
42,GLUTARYL-COA-DEHYDROG-RXN,fadh2_c + glutcoa_c + h_c <=> GLUTACONYL-COA_c + fad_c,"{'charge': -2.0, 'H': -6.0}"
43,FERREDOXIN--NITRITE-REDUCTASE-RXN,6.0 fdxrd_c + 8.0 h_c + no2_c --> 6.0 fdxox_c + 2.0 h2o_c + nh4_c,"{'charge': -6.0, 'H': -12.0}"
44,KETOACYLCOATHIOL-RXN-PALMITYL-COA/ACETYL-COA//POLYMER-INST-3-KETOACYL-COA-C14-H28/CO-A.66.,POLYMER-INST-3-KETOACYL-COA-C14-H28_c + coa_c --> accoa_c + pmtcoa_c,{'charge': -4.0}
45,GLNTRS,atp_c + gln__L_c + h_c + trnagln_c --> amp_c + glntrna_c + ppi_c,"{'charge': -1.0, 'H': -1.0}"
46,Hexaprenyl-Diphosphate-Biosynthesis-RXN,frdp_c + ipdp_c --> hexdp_c + 3.0 ppi_c,"{'charge': -6.0, 'C': 10.0, 'H': 18.0, 'O': 14.0, 'P': 4.0}"
47,Oxidization_FADH2,fadh2_m + q6_m --> fad_m + q6h2_m,"{'charge': -1.0, 'H': -1.0}"
48,Putative_Trans_Aconitate_Decarboxylase,acon_T_c --> co2_c + itacon_c,"{'charge': 1.0, 'H': 1.0}"
50,NGAM,atp_c + h2o_c --> adp_c + pi_c,"{'charge': -1.0, 'H': -1.0}"
171,Trans_4hbz_c,4hbz_c <=> 4hbz_e,{'charge': 1.0}
