index,Abbreviation,Formula,Misbalance
38,RXN1G-252,cis-cis-D9-21-3-hydroxyC40-2-ACPs_c + nadp_c <=> cis-cis-D9-21-3-oxo-C40-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
39,RXN1G-1050,cis-cis-D13-31-3-hydroxyC50-2-ACPs_c + nadp_c <=> cis-cis-D13-31-3-oxo-C50-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
40,RXN0-6359,Sulfurated-Sulfur-Acceptors_c + cyan_c --> Unsulfurated-Sulfur-Acceptors_c + 2.0 h_c + tcynt_c,"{'charge': 1.0, 'H': 1.0, 'S': 1.0}"
41,6.1.1.23-RXN,ASX-tRNAs_c + asp__L_c + atp_c + 2.0 h_c --> ASPARTYL-ASX-TRNAS_c + amp_c + ppi_c,"{'charge': -1.0, 'C': -4.0, 'H': -7.0, 'N': -1.0, 'O': -3.0}"
42,2.3.2.13-RXN,Alkylamines_c + Protein-L-glutamine_c --> Protein-N5-alkylglutamines_c + nh4_c,"{'H': 4.0, 'N': 1.0}"
44,DEOXYHYPUSINE-MONOOXYGENASE-RXN,CPD-9973_c + h_c + nadph_c + o2_c --> EIF5A-HYPUSINE_c + h2o_c + nadp_c,{'O': -1.0}
45,RXN-7838,D-3-HYDROXYACYL-COA_c <=> Cis-2-enoyl-CoAs_c + h2o_c,"{'H': 2.0, 'O': 1.0}"
46,2.4.1.119-RXN,OLIGOSACCHARIDE-DIPHOSPHODOLICHOL_c + Protein-L-Asparagine_c <=> Glycoprotein-Asn-oligosaccharides_c + doldp_c,"{'C': -88.0, 'H': -147.0, 'N': -2.0, 'O': -70.0}"
47,RXN-10981,ascb__L_c + h_c + nadp_c --> CPD-318_c + nadph_c,{'charge': -1.0}
48,RXN-7699-POLYMER-INST-D-3-HYDROXYACYL-COA-C2-H4//CPD0-2121/WATER.56.,h2o_c + hx2coa_c --> POLYMER-INST-D-3-HYDROXYACYL-COA-C2-H4_c,{'charge': 4.0}
49,RXN-7699-POLYMER-INST-D-3-HYDROXYACYL-COA-C4-H8//CPD0-2108/WATER.56.,h2o_c + oc2coa_c --> POLYMER-INST-D-3-HYDROXYACYL-COA-C4-H8_c,{'charge': 4.0}
50,RXN-7699-POLYMER-INST-D-3-HYDROXYACYL-COA-C8-H16//CPD-7222/WATER.56.,dd2coa_c + h2o_c --> POLYMER-INST-D-3-HYDROXYACYL-COA-C8-H16_c,{'charge': 4.0}
51,RXN-7699-CPD-14275//POLYMER-INST-TRANS-D2-ENOYL-COA-C16-H32/WATER.57.,POLYMER-INST-TRANS-D2-ENOYL-COA-C16-H32_c + h2o_c --> CPD-14275_c,{'charge': -4.0}
52,RXN-14960,Fe2-siderophores_c + h_c --> fe2_c + feroxE_c,"{'charge': -1.0, 'H': -1.0, 'Fe': 1.0}"
53,RXN-11696,NAD-P-OR-NOP_c + n-Alkanals_c <=> Alk-2-enals_c + NADH-P-OR-NOP_c + h_c,{'H': 1.0}
54,CYSTRS,atp_c + cys__L_c + h_c + trnacys_c --> amp_c + cystrna_c + ppi_c,"{'charge': -1.0, 'H': -1.0}"
55,RXN-11410,CPD-12377_c + dgtp_c --> CPD0-1905_c + h_c,{'charge': 1.0}
56,RXN0-7080,CPD-12377_c + ctp_c --> 5-HYDROXY-CTP_c + h_c,{'charge': 1.0}
57,RXN-14290,CPD-12377_c + datp_c --> CPD-13851_c + h_c,{'charge': 1.0}
58,RXN-15139,CPD-12377_c + ade_c --> CPD0-2461_c + h_c,{'charge': 1.0}
59,RXN-11409,CPD-12377_c + gtp_c --> CPD-12366_c + h_c,{'charge': 1.0}
60,RXN-12539,4met2obut_c + CPD-12377_c --> ETHYLENE-CMPD_c + ch4s_c + 2.0 co2_c,{'charge': 1.0}
61,RXN-8351,CPD-8123_c + cys__L_c + 2.0 h_c --> CPD-8124_c + ala__L_c + h2o_c,{'charge': -2.0}
62,2.3.1.97-RXN,GLYCYL-PEPTIDE_c + tdcoa_c <=> coa_c + tglp_c,"{'C': -14.0, 'H': -26.0, 'O': -1.0}"
64,FA181ACPHi,h2o_c + octeACP_c --> ACP_c + h_c + ocdcea_c,{'charge': -1.0}
65,AMINEOXID-RXN,Aliphatic-Amines_c + h2o_c + o2_c --> Aldehydes_c + h2o2_c + nh4_c,"{'H': 4.0, 'O': -1.0, 'N': 1.0}"
66,RXN-9557,3hcvac11eACP_c <=> cis-vaccen-2-enoyl-ACPs_c + h2o_c,"{'C': -29.0, 'H': -51.0, 'N': -2.0, 'O': -8.0, 'P': -1.0, 'R': -1.0, 'S': -1.0}"
67,RXN-9597,Primary-Amines_c + h2o_c + o2_c --> Aldehydes_c + h2o2_c + nh4_c,"{'H': 4.0, 'O': -1.0, 'N': 1.0}"
68,RXN-10659,3-hydroxy-cis-D9-hexaecenoyl-ACPs_c + nadp_c <=> 3-oxo-cis-D9-hexadecenoyl-ACPs_c + h_c + nadph_c,{'H': 2.0}
69,RXN1G-363,R-3-hydroxybehenoyl-ACPs_c <=> h2o_c + trans-delta2-behenoyl-ACPs_c,"{'H': 2.0, 'O': 1.0}"
70,RXN1G-287,cis-delta21-3-hydroxyC40-ACPs_c + nadp_c <=> cis-delta21-3-oxo-C40-ACPs_c + h_c + nadph_c,{'H': 2.0}
71,RXN1G-1053,cis-delta19-3-hydroxyC38-ACPs_c + nadp_c <=> cis-delta19-3-oxo-C38-ACPs_c + h_c + nadph_c,{'H': 2.0}
72,RXN1G-881,cis-delta17-3-hydroxyC36-ACPs_c + nadp_c <=> cis-delta17-3-oxo-C36-ACPs_c + h_c + nadph_c,{'H': 2.0}
73,RXN1G-358,cis-delta15-3-hydroxygheddoyl-ACPs_c + nadp_c <=> cis-delta15-3-oxo-gheddoyl-ACPs_c + h_c + nadph_c,{'H': 2.0}
74,RXN1G-260,cis-delta13-3-hydroxylacceroyl-ACPs_c + nadp_c <=> cis-delta13-3-oxo-lacceroyl-ACPs_c + h_c + nadph_c,{'H': 2.0}
75,RXN1G-163,cis-delta11-3-hydroxymelissoyl-ACPs_c + nadp_c <=> cis-delta11-3-oxo-melissoyl-ACPs_c + h_c + nadph_c,{'H': 2.0}
76,RXN1G-240,cis-delta9-3-hydroxymontanoyl-ACPs_c + nadp_c <=> cis-delta9-3-oxo-montanoyl-ACPs_c + h_c + nadph_c,{'H': 2.0}
77,RXN1G-364,cis-delta7-3-hydroxycerotoyl-ACPs_c + nadp_c <=> cis-delta7-3-oxo-cerotoyl-ACPs_c + h_c + nadph_c,{'H': 2.0}
78,RXN1G-72,cis-delta5-3-hydroxylignoceroyl-ACPs_c + nadp_c <=> cis-delta5-3-oxo-lignoceroyl-ACPs_c + h_c + nadph_c,{'H': 2.0}
79,RXN1G-517,R-3-hydroxylignoceroyl-ACPs_c <=> h2o_c + trans-delta2-lignoceroyl-ACPs_c,"{'H': 2.0, 'O': 1.0}"
80,RXN1G-469,R-3-hydroxybehenoyl-ACPs_c + nadp_c <=> 3-oxo-behenoyl-ACPs_c + h_c + nadph_c,{'H': 2.0}
81,RXN1G-320,R-3-hydroxyarachidoyl-ACPs_c <=> h2o_c + trans-delta2-arachidoyl-ACPs_c,"{'H': 2.0, 'O': 1.0}"
82,RXN-1641,12dgr160_c + pc160_c --> 2-Lysophosphatidylcholines_c + Triacylglycerols_c,"{'C': -75.0, 'H': -148.0, 'O': -13.0, 'N': -1.0, 'P': -1.0}"
83,2.1.1.77-RXN,PROTEIN-L-BETA-ISOASPARTATES_c + amet_c <=> PROTEIN-L-BETA-ISOSPARTATE-METHYL-ESTERS_c + ahcys_c,"{'C': -1.0, 'H': -3.0}"
84,RXN-15212,N-acyl-sphingosylphosphorylcholine_c + h2o_c --> N-Acylsphingosine_c + cholp_c + h_c,"{'H': 12.0, 'O': 3.0, 'C': 5.0, 'N': 1.0, 'P': 1.0}"
85,GCVT-RXN,AMINOMETHYLDIHYDROLIPOYL-GCVH_c + thf_c --> DIHYDROLIPOYL-GCVH_c + mlthf_c + nh4_c,"{'C': 1.0, 'H': 4.0, 'N': 1.0}"
87,3.2.1.24-RXN,Alpha-D-Mannosides_c + h2o_c --> CPD-13559_c + Non-Glycosylated-sugar-Acceptors_c,"{'H': 10.0, 'O': 5.0, 'C': 6.0}"
88,ACYLCOASYN-RXN-POLYMER-INST-CPD66-39-C2-H4/CO-A/ATP//HEXANOYL-COA/PPI/AMP.59.,POLYMER-INST-CPD66-39-C2-H4_c + atp_c + coa_c --> amp_c + hxcoa_c + ppi_c,{'charge': -1.0}
89,ACYLCOASYN-RXN-POLYMER-INST-CPD66-39-C10-H20/CO-A/ATP//TETRADECANOYL-COA/PPI/AMP.66.,POLYMER-INST-CPD66-39-C10-WATER_c + atp_c + coa_c --> amp_c + ppi_c + tdcoa_c,{'charge': -1.0}
90,ACYLCOASYN-RXN-POLYMER-INST-CPD66-39-C16-H32/CO-A/ATP//CPD-9965/PPI/AMP.57.,POLYMER-INST-CPD66-39-C16-H32_c + atp_c + coa_c --> CPD-9965_c + amp_c + ppi_c,{'charge': -1.0}
91,RXN66-477,Odd-Straight-Chain-234-Sat-FA_c + atp_c + coa_c --> Odd-Saturated-Fatty-Acyl-CoA_c + amp_c + ppi_c,"{'C': -21.0, 'H': -31.0, 'N': -7.0, 'O': -15.0, 'P': -3.0, 'S': -1.0}"
92,RXN-7919,2-hydroxyacyl-glutathiones_c + h2o_c --> 2-Hydroxy-carboxylates_c + GLUTATHIONE_c,"{'H': 14.0, 'O': 5.0, 'C': 10.0, 'N': 3.0, 'S': 1.0}"
93,RXN66-469,3-Methyl-Saturated-Fatty-Acids_c + atp_c + coa_c --> 3-Methyl-Saturated-Fatty-Acyl-CoA_c + amp_c + ppi_c,"{'C': -21.0, 'H': -31.0, 'N': -7.0, 'O': -15.0, 'P': -3.0, 'S': -1.0}"
94,CDPPT160,cdpdhdecg_c + inost_c --> cmp_c + h_c + ptd1ino160_c,{'charge': 1.0}
95,RXN-11373,3-carboxy-3-dimethylammonio-eropyl-L-his_c + amet_c --> DIPHTINE_c + ahcys_c + h_c,"{'C': -1.0, 'H': -2.0}"
96,RXN-11374,amet_c + cmaphis_c --> 3-carboxy-3-dimethylammonio-eropyl-L-his_c + ahcys_c + h_c,"{'C': -1.0, 'H': -2.0}"
97,DIPS,amet_c + caphis_c --> ahcys_c + cmaphis_c + h_c,"{'C': -1.0, 'H': -2.0}"
98,RXN-14326,3.0 amet_c + caphis_c --> DIPHTINE_c + 3.0 ahcys_c + 3.0 h_c,"{'C': -3.0, 'H': -6.0}"
100,RXN-3701,PROT-CYS_c + ggdp_c <=> S-GERANYLGERANYL-PROTEIN_c + ppi_c,"{'C': -20.0, 'H': -32.0}"
101,BUTYRYL-COA-DEHYDROGENASE-RXN,b2coa_c + fad_c --> btcoa_c + fadh2_c + h_c,"{'charge': 2.0, 'H': 6.0}"
102,RXN0-5515,2-3-4-Saturated-L-Phosphatidates_c + ctp_c + h_c --> CDP-2-3-4-Saturated-Diacylglycerols_c + ppi_c,"{'C': -9.0, 'H': -12.0, 'N': -3.0, 'O': -7.0, 'P': -1.0}"
103,2.1.1.79-RXN,Phospholipid-Olefinic-Fatty-Acids_c + amet_c <=> Phospholipid-Cyclopropane-Fatty-Acids_c + ahcys_c + h_c,"{'C': -1.0, 'H': -2.0}"
104,RXN-13682,3-Oxo-5-Alpha-Steroids_c + nadp_c <=> 3-Oxo-Delta-4-Steroids_c + h_c + nadph_c,{'H': 2.0}
105,MYOSIN-LIGHT-CHAIN-PHOSPHATASE-RXN,CPD-8563_c + h2o_c --> CPD-8564_c + 2.0 h_c + pi_c,"{'H': 1.0, 'O': 3.0, 'P': 1.0}"
106,3.4.11.7-RXN,L-Glutamyl-Peptides_c + h2o_c --> General-Protein-Substrates_c + glu__L_c + h_c,"{'H': 7.0, 'O': 3.0, 'C': 5.0, 'N': 1.0}"
107,RXN0-6274,dmpp_c + tRNA-Adenosines-37_c <=> 6-Dimethylallyladenosine37-tRNAs_c + ppi_c,"{'C': -5.0, 'H': -8.0}"
108,RXN-12383,2.0 12dgr160_c <=> CPD-409_c + Triacylglycerols_c,"{'C': -70.0, 'H': -136.0, 'O': -10.0}"
109,RXN-9787,Sulfur-Carrier-Proteins-ThiI_c + cys__L_c <=> Sulfurylated-ThiI_c + ala__L_c,{'S': -1.0}
110,RXN-12588,Unsulfurated-Sulfur-Acceptors_c + cys__L_c + h_c <=> Sulfurated-Sulfur-Acceptors_c + ala__L_c,"{'charge': -1.0, 'H': -1.0, 'S': -1.0}"
111,RXN0-5514,Saturated-2-Lysophosphatidates_c + Saturated-Fatty-Acyl-ACPs_c <=> 2-3-4-Saturated-L-Phosphatidates_c + ACP_c,"{'charge': -1.0, 'C': 11.0, 'H': 21.0, 'N': 2.0, 'O': 7.0, 'P': 1.0, 'R': 1.0, 'S': 1.0}"
112,RXN-8629,DIHYDROLIPOYL-GCVH_c + nad_c <=> PROTEIN-LIPOYLLYSINE_c + h_c + nadh_c,{'H': 2.0}
113,2.1.1.16-RXN,Phospholipid-Olefinic-Fatty-Acids_c + amet_c <=> CPD-8190_c + ahcys_c + h_c,"{'C': -1.0, 'H': -2.0}"
114,RXN-13730,IPC_c + h2o_c --> Alpha-hydroxyphytoceramides_c + h_c + mi1p__D_c,"{'H': 10.0, 'O': 8.0, 'C': 6.0, 'P': 1.0}"
115,RXN-13731,MIPC_c + h2o_c --> Alpha-hydroxyphytoceramides_c + CPD-14767_c + h_c,"{'H': 20.0, 'O': 13.0, 'C': 12.0, 'P': 1.0}"
116,RXN-13732,MIP2C_c + h2o_c --> Alpha-hydroxyphytoceramides_c + CPD-14768_c,"{'H': 30.0, 'O': 21.0, 'C': 18.0, 'P': 2.0}"
117,RXN-11377,Sphingoid-1-ehosphates_c --> Aldehydes_c + ethamp_c,"{'C': 2.0, 'H': 7.0, 'N': 1.0, 'O': 4.0, 'P': 1.0}"
118,RXN-1224,12dgr160_c + udpsq_c <=> SULFOQUINOVOSYLDIACYLGLYCEROL_c + udp_c,"{'C': -41.0, 'H': -78.0, 'O': -12.0, 'S': -1.0}"
119,RXN-15278,CPD-16494_c + udpgal_c --> I-antigens_c + h_c + udp_c,"{'C': -6.0, 'H': -10.0, 'O': -5.0}"
120,RXN-15277,i-Antigens_c + uacgam_c --> CPD-16494_c + h_c + udp_c,"{'C': -8.0, 'H': -13.0, 'N': -1.0, 'O': -5.0}"
121,RXN-15276,N-ACETYL-BETA-D-GLUCOSAMINYL-13-ETCETERA_c + udpgal_c --> h_c + i-Antigens_c + udp_c,"{'C': -6.0, 'H': -10.0, 'O': -5.0}"
122,RXN-13445,CPD-14425_c + 2.0 h_c --> clpndcoa_c,{'charge': -2.0}
123,RXN-15271,B-Gal-14-NacGlc-R_c + cmpacna_c --> CPD-16483_c + cmp_c + h_c,"{'C': -11.0, 'H': -16.0, 'N': -1.0, 'O': -8.0}"
124,LONG-CHAIN-ENOYL-COA-HYDRATASE-RXN,Long-Chain-3S-Hydroxyacyl-CoAs_c <=> Long-Chain-Trans-23-Dehydroacyl-CoA_c + h2o_c,"{'H': 2.0, 'O': 1.0}"
125,2.4.1.149-RXN,B-Gal-14-NacGlc-R_c + uacgam_c --> N-ACETYL-BETA-D-GLUCOSAMINYL-13-ETCETERA_c + h_c + udp_c,"{'C': -8.0, 'H': -13.0, 'N': -1.0, 'O': -5.0}"
126,2.4.1.150-RXN,B-Gal-14-NacGlc-R_c + uacgam_c --> N-ACETYL-BETA-D-GLUCOSAMINYL-16-ETCETERA_c + h_c + udp_c,"{'C': -8.0, 'H': -13.0, 'N': -1.0, 'O': -5.0}"
127,2.4.99.6-RXN,B-Gal-14-NacGlc-R_c + cmpacna_c --> ALPHA-N-ACETYLNEURAMINYL-23-BETA-ETCETER_c + cmp_c + h_c,"{'C': -11.0, 'H': -16.0, 'N': -1.0, 'O': -8.0}"
128,GALACTOSIDE-3-FUCOSYLTRANSFERASE-RXN,B-Gal-14-NacGlc-R_c + gdpfuc_c --> CPD-8594_c + gdp_c + h_c,"{'C': -6.0, 'H': -10.0, 'O': -4.0}"
129,2.4.1.38-RXN,BETA-ACETYLGLUCOSAMINIDE_c + udpgal_c --> B-Gal-14-NacGlc-R_c + h_c + udp_c,"{'C': -6.0, 'H': -10.0, 'O': -5.0}"
130,2.4.1.223-RXN,GlcA-Gal-Gal-Xyl-Proteins_c + uacgam_c <=> GlcNAc-GlcA-Gal-Gal-Xyl-Protein_c + h_c + udp_c,"{'C': -8.0, 'H': -13.0, 'N': -1.0, 'O': -5.0}"
137,RXN-14554,PROT-CYS_c + pmtcoa_c <=> S-ealmitoyl-L-cysteine-in-eroteins_c + coa_c,"{'C': -16.0, 'H': -30.0, 'O': -1.0}"
138,RXN66-476,Odd-Straight-Chain-234-Sat-FALD_c + h2o_c + nad_c <=> Odd-Straight-Chain-234-Sat-FA_c + 2.0 h_c + nadh_c,"{'H': 1.0, 'O': -1.0}"
139,RXN-11474,Malonyl-acp-methyl-ester_c + h_c + malACP_c <=> 3-Ketoglutaryl-ACP-methyl-ester_c + ACP_c + co2_c,"{'H': -2.0, 'C': -2.0, 'O': -1.0}"
140,RXN-9553,R-3-hydroxypetroselinoyl-ACPs_c <=> Petrosel-2-enoyl-ACPs_c + h2o_c,"{'H': 2.0, 'O': 1.0}"
141,2.4.1.151-RXN,B-Gal-14-NacGlc-R_c + udpgal_c --> ALPHA-D-GALACTOSYL-ETCETERA-GLUCOSAMINYL_c + h_c + udp_c,"{'C': -6.0, 'H': -10.0, 'O': -5.0}"
142,RXN66-472,2-Me-Branched-234-Sat-FALD_c + h2o_c + nad_c <=> 2-Me-Branched-234-Sat-FA_c + 2.0 h_c + nadh_c,"{'H': 1.0, 'O': -1.0}"
143,ENOYL-COA-HYDRAT-RXN-POLYMER-INST-L-3-HYDROXYACYL-COA-C8-H16//CPD-7222/WATER.56.,dd2coa_c + h2o_c --> POLYMER-INST-L-3-HYDROXYACYL-COA-C8-H16_c,{'charge': 4.0}
144,ENOYL-COA-HYDRAT-RXN-CPD0-2232//POLYMER-INST-TRANS-D2-ENOYL-COA-C12-H24/WATER.57.,POLYMER-INST-TRANS-D2-ENOYL-COA-C12-H24_c + h2o_c --> 3hhdcoa_c,{'charge': -4.0}
145,ENOYL-COA-HYDRAT-RXN-POLYMER-INST-L-3-HYDROXYACYL-COA-C14-H28//CPD-10262/WATER.58.,h2o_c + od2coa_c --> POLYMER-INST-L-3-HYDROXYACYL-COA-C14-H28_c,{'charge': 4.0}
146,RXN0-2161,SEC-tRNAs_c + atp_c + h_c + ser__L_c --> L-seryl-SEC-tRNAs_c + amp_c + ppi_c,"{'charge': -1.0, 'C': -3.0, 'H': -7.0, 'N': -1.0, 'O': -2.0}"
147,ACYLCOADEHYDROG-RXN,Saturated-Fatty-Acyl-CoA_c + fadh2_c + h_c --> TRANS-D2-ENOYL-COA_c + fad_c,"{'charge': -2.0, 'H': -4.0}"
148,RXN-12579,Dietary-retinyl-esters_c + h2o_c --> Long-Chain-Fatty-Acids_c + h_c + retinol_c,"{'H': 29.0, 'C': 20.0}"
149,GLNTRAT,atp_c + gln__L_c + glutrna_gln_c + h2o_c --> adp_c + glntrna_c + glu__L_c + h_c + pi_c,"{'C': 5.0, 'H': 7.0, 'N': 1.0, 'O': 3.0, 'R': 1.0}"
150,GLUCOSE-1-DEHYDROGENASE-RXN,NAD-P-OR-NOP_c + glc__D_c <=> NADH-P-OR-NOP_c + g15lac_c + h_c,{'H': -1.0}
151,AOXSr2,ala__L_c + h_c + pimACP_c <=> 8aonn_c + ACP_c + co2_c,"{'charge': -1.0, 'H': -1.0}"
154,RXN-12460,Charged-ASN-tRNAs_c + h2o_c --> asn__L_c + 2.0 h_c + trnaasn_c,"{'charge': 1.0, 'H': 25.0, 'O': 12.0, 'C': 14.0, 'N': 2.0, 'P': 1.0, 'R': 2.0}"
155,3.2.1.52-RXN,N-Acetyl-beta-D-Hexosaminides_c + h2o_c --> Alcohols_c + N-acetyl-beta-D-hexosamines_c,"{'H': 13.0, 'O': 5.0, 'C': 8.0, 'N': 1.0}"
156,D-AMINO-ACID-OXIDASE-RXN,D-Amino-Acids_c + h2o_c + o2_c --> 2-Oxo-carboxylates_c + h2o2_c + nh4_c,"{'H': 4.0, 'O': -1.0, 'N': 1.0}"
157,PHENOL-BETA-GLUCOSYLTRANSFERASE-RXN,Aryl-Alcohol_c + udpg_c <=> Aryl-beta-D-Glucosides_c + h_c + udp_c,"{'C': -6.0, 'H': -10.0, 'O': -5.0}"
158,HEME-OXYGENASE-DECYCLIZING-RXN,3.0 h_c + 3.0 nadph_c + 3.0 o2_c + pheme_c --> biliverd_c + co_c + fe2_c + 3.0 h2o_c + 3.0 nadp_c,"{'charge': 2.0, 'H': 2.0}"
